Name,District Number,District Name,Class,Group,TD1: Degree,TD1: Major/Field,TD1: School,TD1: Year,TD2: Degree,TD2: Major/Field,TD2: School,TD2: Year,City,State,Job Title,Organization,Sector,Race,Gender,Birth Year,Age at Start,FOMC Combined,FOMC Pre-reorg,FOMC Pre Start Year,FOMC Pre End Year,FOMC Post-reorg,FOMC Post Start Year,FOMC Post End Year,Start Year (pos.),End Year (pos.),title,first,middle,last,suffix,nickname,middle_initial
SIDNEY A SWENSRUD,4,Cleveland,C,,Master's,Business,Harvard University,1927,,,,,Pittsburgh,Pennsylvania,Chairman of the Board,Gulf Oil Corporation,"Energy, Mining, & Extraction",W,M,1901,52,,,,,,,,1953,1954,,SIDNEY,A,SWENSRUD,,,A
POLLARD TURMAN,6,Atlanta,B,2.0,JD,Law,Emory University,1935,,,,,Atlanta,Georgia,President,"J.M. Tull Metal & Supply Company, Inc.",Manufacturing,W,M,1911,42,,,,,,,,1953,1960,,POLLARD,,TURMAN,,,
NUGENT R OBERWORTMANN,7,Chicago,A,2.0,,,,,,,,,Chicago,Illinois,President,North Shore National Bank of Chicago,Banking,W,M,1897,56,,,,,,,,1953,1958,,NUGENT,R,OBERWORTMANN,,,R
BERT R PRALL,7,Chicago,C Dep. Chair,,,,,,,,,,Chicago,Illinois,President,Butler Brothers,Wholesale & Retail Trade,W,M,1896,57,,,,,,,,1953,1955,,BERT,R,PRALL,,,R
RAYMOND W HALL,10,Kansas City,C Chair,,,,,,,,,,Kansas City,Missouri,"Vice President, Controller & Director","Hall Brothers, Inc.","Energy, Mining, & Extraction",W,M,1892,61,,,,,,,,1953,1961,,RAYMOND,W,HALL,,,W
JB THOMAS,11,Dallas,B,1.0,,,,,,,,,Fort Worth,Texas,"President, General Manager, & Director",Texas Electric Service Company,Utilities,W,M,1891,62,,,,,,,,1953,1958,,JB,,THOMAS,,,
ROBERT J SMITH,11,Dallas,C Dep. Chair,,JD,Law,Jefferson School of Law in Dallas,1929,,,,,Dallas,Texas,President,"Pioneer Air Lines, Inc.",Transportation,W,M,1899,54,,,,,,,,1953,1954,,ROBERT,J,SMITH,,,J
JOHN A SCHOONOVER,12,San Francisco,A,1.0,,,,,,,,,Boise,Idaho,President,The Idaho First National Bank,Banking,W,M,1894,59,,,,,,,,1953,1961,,JOHN,A,SCHOONOVER,,,A
JOHN C VIRDEN,4,Cleveland,C Chair,,,,,,,,,,Cleveland,Ohio,Chairman of the Board,John C. Virden Company,Manufacturing,W,M,1897,56,,,,,,,,1953,1956,,JOHN,C,VIRDEN,,,C
JOHN S COLEMAN,7,Chicago,C Chair,,JD,Law,Georgetown University,1924,,,,,Detroit,Michigan,President,Burroughs Adding Machine Company,Manufacturing,W,M,1897,56,,,,,,,,1953,1955,,JOHN,S,COLEMAN,,,S
JAY E CRANE,2,New York,C Chair,3.0,Bachelor's,,Yale University,1914,,,,,New York,New York,Director,Standard Oil Company,"Energy, Mining, & Extraction",W,M,1892,61,,,,,,,,1953,1953,,JAY,E,CRANE,,,E
LEO LEAVITT RUMMELL,4,Cleveland,C Dep. Chair,,Bachelor's,,Ohio State University,,,,,,Columbus,Ohio,Dean of College of Agriculture,Ohio State University,Education,W,M,1893,60,,,,,,,,1953,1954,,LEO,LEAVITT,RUMMELL,,,L
WILLIAM J MEINEL,3,Philadelphia,C Chair,,,,,,,,,,Philadelphia,Pennsylvania,President & General Manager,Heintz Manufacturing Company,Manufacturing,W,M,1904,49,,,,,,,,1953,1957,,WILLIAM,J,MEINEL,,,J
"JAMES RHYNE KILLIAN, JR",1,Boston,C,,Bachelor's,Engineering and Business Adminsitration,Massachusetts Institute of Technology,1926,,,,,Cambridge,Massachusetts,President,Massachusetts Institute of Technology,Education,W,M,1904,50,,,,,,,,1954,1954,,JAMES,RHYNE,KILLIAN,JR,,R
JOHN R EVANS,2,New York,A,2.0,Bachelor's,,Penn State University,1922,,,,,Poughkeepsie,New York,President,First National Bank of Poughkeepsie,Banking,W,M,,,,,,,,,,1954,1956,,JOHN,R,EVANS,,,R
FORREST F HILL,2,New York,C Dep. Chair,,PhD,Agricultural Economics,Cornell University,1930,,,,,Bound Brook,New Jersey,Provost,Cornell University,Education,W,M,1900,54,,,,,,,,1954,1960,,FORREST,F,HILL,,,F
WILLIAM FULTON KURTZ,3,Philadelphia,A,1.0,,,,,,,,,Philadelphia,Pennsylvania,Chairman of the Board,Pennsylvania Company for Banking and Trusts,Banking,W,M,1887,67,,,,,,,,1954,1956,,WILLIAM,FULTON,KURTZ,,,F
LESTER V CHANDLER,3,Philadelphia,C,,PhD,Economics,Yale University,,,,,,Princeton,New Jersey,Professor of Economics,Princeton University,Education,W,M,1906,48,,,,,,,,1954,1957,,LESTER,V,CHANDLER,,,V
J BRENNER ROOT,4,Cleveland,A,1.0,,,,,,,,,Canton,Ohio,President,Harter Bank & Trust Company,Banking,W,M,1887,67,,,,,,,,1954,1956,,J,BRENNER,ROOT,,,B
ALEXANDER E WALKER,4,Cleveland,B,1.0,,,,,,,,,Pittsburgh,Pennsylvania,Chairman of the Board,National Supply Company,Wholesale & Retail Trade,W,M,1912,42,,,,,,,,1954,1956,,ALEXANDER,E,WALKER,,,E
WILLIAM AL SIBLEY,5,Richmond,B,2.0,,,,,,,,,Union,South Carolina,Vice President & Treasurer,Monarch Mills,Manufacturing,W,M,1900,54,,,,,,,,1954,1959,,WILLIAM,AL,SIBLEY,,,A
"ALONZO G DECKER, JR",5,Richmond,C,,Bachelor's,Electrical Engineering,Cornell University,1929,,,,,Towson,Maryland,Vice President,Black and Decker Manufacturing Company,Manufacturing,W,M,1908,46,,,,,,,,1954,1958,,ALONZO,G,DECKER,JR,,G
"JOHN BROCKENBROUGH WOODWARD, JR",5,Richmond,C Chair,,,,,,,,,,Newport News,Virginia,Chairman of the Board,Newport News Shipbuilding and Dry Dock Co.,Manufacturing,W,M,1887,67,,,,,,,,1954,1954,,JOHN,BROCKENBROUGH,WOODWARD,JR,,B
"HARLLEE BRANCH, JR",6,Atlanta,C,,JD,Law,Emory University,1931,,,,,Atlanta,Georgia,President,Power Company of Atlanta,Utilities,W,M,1906,48,,,,,,,,1954,1954,,HARLLEE,,BRANCH,JR,,
WILLIAM A HANLEY,7,Chicago,B,2.0,Bachelor's,Mechanical Engineering,Purdue University,1908,,,,,Indianapolis,Indiana,Director,Eli Lillly and Company,Pharmaceuticals,W,M,1886,68,,,,,,,,1954,1965,,WILLIAM,A,HANLEY,,,A
J STUART RUSSELL,7,Chicago,C,,Bachelor's,,Grinnell College,1913,,,,,Des Moines,Iowa,Farm Editor,Des Moines Register and Tribune,Publishing,W,M,1892,62,,,,,,,,1954,1955,,J,STUART,RUSSELL,,,S
LEO J WIECK,8,St. Louis,B,1.0,,,,,,,,,St. Louis,Missouri,Vice President & Treasurer,May Department Stores Company,Wholesale & Retail Trade,W,M,1901,53,,,,,,,,1954,1960,,LEO,J,WIECK,,,J
"S J BEAUCHAMP, JR",8,St. Louis,B,2.0,Bachelor's,,University of Arkansas,1922,,,,,Little Rock,Arkansas,President,Terminal Warehouse Company,Real Estate & Construction,W,M,1900,54,,,,,,,,1954,1961,,S,J,BEAUCHAMP,JR,,J
CAFFEY ROBERTSON,8,St. Louis,C Dep. Chair,,,,,,,,,,Memphis,Tennessee,President,Caffey Robertson Company,Services - Miscellaneous,W,M,1898,56,,,,,,,,1954,1956,,CAFFEY,,ROBERTSON,,,
JOHN W SCOTT,9,Minneapolis,A,3.0,,,,,,,,,Gilby,North Dakota,President,First State Bank of Gilby,Banking,W,M,1902,52,,,,,,,,1954,1954,,JOHN,W,SCOTT,,,W
JE CORETTE,9,Minneapolis,B,3.0,JD,Law,University of Virginia,1930,,,,,Butte,Montana,President & General Manager,Lake Shore Engineering Company,Engineering,W,M,1908,46,,,,,,,,1954,1960,,JE,,CORETTE,,,
LESLIE N PERRIN,9,Minneapolis,C Chair,,,,,,,,,,Minneapolis,Minnesota,Director,General Mills,Agriculture & Food Processing,W,M,1887,67,,,,,,,,1954,1959,,LESLIE,N,PERRIN,,,N
HAROLD KOUNTZE,10,Kansas City,A,1.0,,,,,,,,,Denver,Colorado,President,Colorado National Bank of Denver,Banking,W,M,1885,69,,,,,,,,1954,1963,,HAROLD,,KOUNTZE,,,
KENNETH S ADAMS,10,Kansas City,B,3.0,,,,,,,,,Bartlesville,Oklahoma,Chairman of the Board,Phillips Petroleum Company,"Energy, Mining, & Extraction",W,M,1900,54,,,,,,,,1954,1965,,KENNETH,S,ADAMS,,,S
JOHN R ALFORD,11,Dallas,B,3.0,,,,,,,,,Henderson,Texas,Industrialist & Farmer,Alford Farm,Agriculture & Food Processing,W,M,1885,69,,,,,,,,1954,1959,,JOHN,R,ALFORD,,,R
M VILAS HUBBARD,12,San Francisco,A,2.0,Bachelor's,,University of California at Berkeley,,,,,,Pasadena,California,Chairman of the Board & President,Citizens Commerical Trust and Savings Bank of Pasadena,Banking,W,M,1889,65,,,,,,,,1954,1965,,M,VILAS,HUBBARD,,,V
ALEXANDER HARRY BRAWNER,12,San Francisco,C Chair,,Bachelor's,,Princeton University,1921,,,,,San Francisco,California,President,W.P. Fuller & Company,Wholesale & Retail Trade,W,M,1899,55,,,,,,,,1954,1959,,ALEXANDER,HARRY,BRAWNER,,,H
YOUNG FRANK FREEMAN,12,San Francisco,C Dep. Chair,,Bachelor's,,Georgia Institute of Technology,1910,,,,,Hollywood,California,Vice President,Paramount Pictures Corporation,"Media, Marketing, & Public Relations",W,M,1890,64,,,,,,,,1954,1961,,YOUNG,FRANK,FREEMAN,,,F
"HENDERSON SUPPLEE, JR",3,Philadelphia,C Dep. Chair,,Bachelor's,,Princeton University,1926,,,,,Philadelphia,Pennsylvania,President,Atlantic Refining Company,"Energy, Mining, & Extraction",W,M,1904,50,,,,,,,,1954,1957,,HENDERSON,,SUPPLEE,JR,,
PAUL E REINHOLD,6,Atlanta,C Dep. Chair,,,,,,,,,,Jacksonville,Florida,President,"Foremost Dairies, Inc.",Agriculture & Food Processing,W,M,1896,58,,,,,,,,1954,1954,,PAUL,E,REINHOLD,,,E
M MOSS ALEXANDER,8,St. Louis,C Chair,1.0,,,,,,,,,St. Louis,Missouri,President,Missouri Portland Cement Company,Manufacturing,W,M,1897,57,,,,,,,,1954,1956,,M,MOSS,ALEXANDER,,,M
RUFUS CARROLLTON HARRIS,6,Atlanta,C Chair,,JD,Law,Yale University,1924,,,,,New Orleans,Louisiana,President,Tulane University,Education,W,M,1896,58,,,,,,,,1954,1955,,RUFUS,CARROLLTON,HARRIS,,,C
WILLIAM G WYSOR,5,Richmond,C Dep. Chair,,Bachelor's,Agriculture,Virginia Polytechnic Institute,,,,,,Richmond,Virginia,General Manager,"Southern States Cooperative, Inc.",Agriculture & Food Processing,W,M,1892,62,,,,,,,,1954,1954,,WILLIAM,G,WYSOR,,,G
ROBERT C SPRAGUE,1,Boston,C Chair,,,,,,,,,,North Adams,Massachusetts,Chairman & Treasurer,Sprague Electric Company,Manufacturing,W,M,1900,55,,,,,,,,1955,1960,,ROBERT,C,SPRAGUE,,,C
FERD I COLLINS,2,New York,A,3.0,,,,,,,,,Bound Brook,New Jersey,President & Trust Officer,Bound Brook Trust Company of  Bound Brook,Banking,W,M,1890,65,,,,,,,,1955,1957,,FERD,I,COLLINS,,,I
W ELBRIDGE BROWN,3,Philadelphia,A,2.0,,,,,,,,,Clearfield,Pennsylvania,President & Trust Officer,Clearfield Trust Company,Banking,W,M,1896,59,,,,,,,,1955,1957,,W,ELBRIDGE,BROWN,,,E
BAYARD L ENGLAND,3,Philadelphia,B,3.0,,,,,,,,,Atlantic City,New Jersey,President,Atlantic City Electric Company,Utilities,W,M,1904,51,,,,,,,,1955,1960,,BAYARD,L,ENGLAND,,,L
JOSEPH B HALL,4,Cleveland,B,3.0,Bachelor's,,University of Chicago,1921,,,,,Cincinnati,Ohio,President,Kroger Company,Wholesale & Retail Trade,W,M,1900,55,,,,,,,,1955,1960,,JOSEPH,B,HALL,,,B
FRANK J WELCH,4,Cleveland,C,,PhD,Agricultural Economics,University of Wisconsin,,,,,,Lexington,Kentucky,Dean of College of Agriculture and Home Economics,University of Kentucky,Education,W,M,1903,52,,,,,,,,1955,1957,,FRANK,J,WELCH,,,J
DANIEL W BELL,5,Richmond,A,1.0,JD,Law,National University,1924,,,,,Washington,D.C.,Chairman of the Board & President,American Security and Trust Company,Banking,W,M,1891,64,,,,,,,,1955,1957,,DANIEL,W,BELL,,,W
ROBERT O HUFFMAN,5,Richmond,B,1.0,Bachelor's,,University of North Carolina,1913,,,,,Drexel,North Carolina,President,Drexel Furniture Company,Manufacturing,W,M,1890,65,,,,,,,,1955,1960,,ROBERT,O,HUFFMAN,,,O
DEAN WALLACE COLVARD,5,Richmond,C,,PhD,Animal Husbandry,Purdue University,,,,,,Raleigh,North Carolina,Dean of Agriculture,North Carolina State College of Agriculture and Engineering,Education,W,M,1913,42,,,,,,,,1955,1955,,DEAN,WALLACE,COLVARD,,,W
HAROLD C REFLING,9,Minneapolis,A,3.0,,,,,,,,,Bottineau,North Dakota,Cashier,First National Bank of Bottineau,Banking,W,M,1900,55,,,,,,,,1955,1966,,HAROLD,C,REFLING,,,C
OSCAR BERNARD JESNESS,9,Minneapolis,C Dep. Chair,,PhD,,University of Minnesota,1928,,,,,St. Paul,Minnesota,Head of Department of Agricultural Economics,University of Minnesota,Education,W,M,1889,66,,,,,,,,1955,1959,,OSCAR,BERNARD,JESNESS,,,B
OLIVER S WILLHAM,10,Kansas City,C,,Bachelor's,Animal Husbandry,Oklahoma A&M,1923,,,,,Stillwater,Oklahoma,President,Oklahoma A&M College,Education,W,M,1901,54,,,,,,,,1955,1961,,OLIVER,S,WILLHAM,,,S
JOE W SEACREST,10,Kansas City,C Dep. Chair,,,,,,,,,,Lincoln,Nebraska,President,State Journal Company,Publishing,W,M,1896,59,,,,,,,,1955,1960,,JOE,W,SEACREST,,,W
SAM D YOUNG,11,Dallas,A,1.0,,,,,,,,,El Paso,Texas,President,El Paso National Bank,Banking,W,M,1898,57,,,,,,,,1955,1960,,SAM,D,YOUNG,,,D
HENRY P DROUGHT,11,Dallas,C,,,,,,,,,,San Antonio,Texas,Attorney,,Law,W,M,1893,62,,,,,,,,1955,1956,,HENRY,P,DROUGHT,,,P
PHILIP I WELK,12,San Francisco,C,,,,,,,,,,Walla Walla,Washington,President,Preston-Shaffer Milling Company,Agriculture & Food Processing,W,M,1904,51,,,,,,,,1955,1960,,PHILIP,I,WELK,,,I
"JAMES RHYNE KILLIAN, JR",1,Boston,C Dep. Chair,,Bachelor's,Engineering and Business Adminsitration,Massachusetts Institute of Technology,1926,,,,,Cambridge,Massachusetts,President,Massachusetts Institute of Technology,Education,W,M,1904,51,,,,,,,,1955,1956,,JAMES,RHYNE,KILLIAN,JR,,R
"ALONZO G DECKER, JR",5,Richmond,C Dep. Chair,,Bachelor's,Electrical Engineering,Cornell University,1929,,,,,Towson,Maryland,Vice President,Black and Decker Manufacturing Company,Manufacturing,W,M,1908,47,,,,,,,,1955,1958,,ALONZO,G,DECKER,JR,,G
"HARLLEE BRANCH, JR",6,Atlanta,C,,JD,Law,Emory University,1931,,,,,Atlanta,Georgia,President,Power Company of Atlanta,Utilities,W,M,1906,49,,,,,,,,1955,1959,,HARLLEE,,BRANCH,JR,,
SIDNEY A SWENSRUD,4,Cleveland,C Dep. Chair,,Master's,Business,Harvard University,1927,,,,,Pittsburgh,Pennsylvania,Chairman of the Board,Gulf Oil Corporation,"Energy, Mining, & Extraction",W,M,1901,54,,,,,,,,1955,1955,,SIDNEY,A,SWENSRUD,,,A
ROBERT J SMITH,11,Dallas,C Chair,,JD,Law,Jefferson School of Law in Dallas,1929,,,,,Dallas,Texas,President,"Pioneer Air Lines, Inc.",Transportation,W,M,1899,56,,,,,,,,1955,1960,,ROBERT,J,SMITH,,,J
HAL BOGLE,11,Dallas,C Dep. Chair,,,,,,,,,,Dexter,New Mexico,"Livestock feeding, farming, & ranching",Bogle Farm,Agriculture & Food Processing,W,M,1899,56,,,,,,,,1955,1959,,HAL,,BOGLE,,,
HAROLD D HODGKINSON,1,Boston,C,,Bachelor's,,Yale University,1912,,,,,Boston,Massachusetts,"Vice President, General Manager, & Chairman of Management Board",Wm. Filene's Sons Company,Manufacturing,W,M,1890,65,,,,,,,,1955,1955,,HAROLD,D,HODGKINSON,,,D
MILTON P HIGGINS,1,Boston,B,1.0,Bachelor's,,Harvard University,1928,,,,,Worcester,Massachusetts,President,Norton Company,Publishing,W,M,1904,52,,,,,,,,1956,1962,,MILTON,P,HIGGINS,,,P
HOWARD C SHEPHERD,2,New York,A,1.0,Bachelor's,,DePauw University,1916,,,,,New York,New York,Chairman of the Board,"First National City Bank of New York 
City Bank Farmers Trust Company",Banking,W,M,1895,61,,,,,,,,1956,1958,,HOWARD,C,SHEPHERD,,,C
LINDLEY S HURFF,3,Philadelphia,A,3.0,,,,,,,,,Milton,Pennsylvania,President & Trust Officer,First National Bank of Milton,Banking,W,M,1895,61,,,,,,,,1956,1958,,LINDLEY,S,HURFF,,,S
KING E FAUVER,4,Cleveland,A,2.0,,,,,,,,,Elyria,Ohio,Director,Savings Deposit Bank and Trust Company,Banking,W,M,1903,53,,,,,,,,1956,1958,KING,E,,FAUVER,,,
CHARLES Z HARDWICK,4,Cleveland,B,2.0,,,,,,,,,Findlay,Ohio,Executive Vice President,Ohio Oil Company,"Energy, Mining, & Extraction",W,M,1901,55,,,,,,,,1956,1961,,CHARLES,Z,HARDWICK,,,Z
ARTHUR B VAN BUSKIRK,4,Cleveland,C Dep. Chair,,JD,Law,University of Pennsylvania,,,,,,Pittsburgh,Pennsylvania,Vice President & Governor,T. Mellon & Sons,Financial Services (non-banking),W,M,1896,60,,,,,,,,1956,1956,,ARTHUR,B,VAN BUSKIRK,,,B
JOSEPH E HEALY,5,Richmond,A,2.0,,,,,,,,,Hampton,Virginia,President,Citizens National Bank of Hampton,Banking,W,M,,,,,,,,,,1956,1957,,JOSEPH,E,HEALY,,,E
J K PALMER,5,Richmond,A,3.0,,,,,,,,,Louisburg,West Virginia,Executive Vice President & Cashier,Greenbrier Valley Bank,Banking,W,M,,,,,,,,,,1956,1956,,J,K,PALMER,,,K
L VINTON HERSHEY,5,Richmond,B,3.0,,,,,,,,,Hagerstown,Maryland,President,Hagerstown Shoe Company,Manufacturing,W,M,1895,61,,,,,,,,1956,1961,,L,VINTON,HERSHEY,,,V
DEAN WALLACE COLVARD,5,Richmond,C,,PhD,Animal Husbandry,Purdue University,,,,,,Raleigh,North Carolina,Dean of Agriculture,North Carolina State College of Agriculture and Engineering,Education,W,M,1913,43,,,,,,,,1956,1958,,DEAN,WALLACE,COLVARD,,,W
WILLIAM C CARTER,6,Atlanta,A,2.0,,,,,,,,,Gulfport,Mississippi,Chairman & President,Gulf National Bank of Gulport,Banking,W,M,,,,,,,,,,1956,1961,,WILLIAM,C,CARTER,,,C
HENRY G CHALKLEY,6,Atlanta,C,,,,,,,,,,Lake Charles,Louisiana,President,Sweet Lake Land & Oil Company,Financial Services (non-banking),W,M,1898,58,,,,,,,,1956,1959,,HENRY,G,CHALKLEY,,,G
WALTER M MITCHELL,6,Atlanta,C Chair,,Bachelor's,,Georgia Institute of Technology,1923,,,,,Atlanta,Georgia,Vice President,Draper Corporation,Manufacturing,W,M,1900,56,,,,,,,,1956,1961,,WALTER,M,MITCHELL,,,M
ROBERT P BRIGGS,7,Chicago,C,,Master's,Business,University of Michigan,1928,,,,,Jackson,Michigan,Executive Vice President,Consumers Power Company,Utilities,W,M,1903,53,,,,,,,,1956,1959,,ROBERT,P,BRIGGS,,,P
JOSEPH F RINGLAND,9,Minneapolis,A,1.0,Bachelor's,,Iowa State University,,,,,,Minneapolis,Minnesota,President,Northwestern National Bank of Minneapolis,Banking,W,M,1901,55,,,,,,,,1956,1956,,JOSEPH,F,RINGLAND,,,F
THOMAS G HARRISON,9,Minneapolis,B,1.0,,,,,,,,,Hopkins,Minnesota,President,"Super Valu Stores, Inc.",Wholesale & Retail Trade,W,M,1895,61,,,,,,,,1956,1964,,THOMAS,G,HARRISON,,,G
J STUART RUSSELL,7,Chicago,C Dep. Chair,,Bachelor's,,Grinnell College,1913,,,,,Des Moines,Iowa,Farm Editor,Des Moines Register and Tribune,Publishing,W,M,1892,64,,,,,,,,1956,1959,,J,STUART,RUSSELL,,,S
BERT R PRALL,7,Chicago,C Chair,,,,,,,,,,Chicago,Illinois,President,Butler Brothers,Wholesale & Retail Trade,W,M,1896,60,,,,,,,,1956,1960,,BERT,R,PRALL,,,R
"HARVEY PERLEY HOOD, II",1,Boston,C,1.0,Master's,Business Administration,Harvard University,,,,,,Boston,Massachusetts,President,"H.P. Hood & Sons, Inc.",Agriculture & Food Processing,W,M,1897,59,,,,,,,,1956,1956,,HARVEY,PERLEY,HOOD,II,,P
WILLIAM D IRELAND,1,Boston,A,1.0,Bachelor's,,Bowdoin University,1916,,,,,Boston,Massachusetts,President,Second Bank-State Street Trust Company,Banking,W,M,1894,63,,,,,,,,1957,1962,,WILLIAM,D,IRELAND,,,D
NILS Y WESSELL,1,Boston,C,,Bachelor's,Psychology,Lafayette College,,,,,,Medford,Massachusetts,President,Tufts University,Education,W,M,1914,43,,,,,,,,1957,1958,,NILS,Y,WESSELL,,,Y
CHARLES W BITZER,2,New York,A,2.0,,,,,,,,,Bridgeport,Connecticut,President,Bridgeport-City Trust Company,Banking,W,M,1892,65,,,,,,,,1957,1959,,CHARLES,W,BITZER,,,W
AUGUSTUS C LONG,2,New York,B,3.0,Bachelor's,,United States Naval Academy,1926,,,,,New York,New York,Chairman & Board of Directors,Texas Company,"Energy, Mining, & Extraction",W,M,1904,53,,,,,,,,1957,1960,,AUGUSTUS,C,LONG,,,C
GEOFFREY S SMITH,3,Philadelphia,A,1.0,Bachelor's,,Harvard University,1922,,,,,Philadelphia,Pennsylvania,President,Girard Trust Corn Exchange Bank,Banking,W,M,1901,56,,,,,,,,1957,1959,,GEOFFREY,S,SMITH,,,S
R RUSSELL PIPPIN,3,Philadelphia,B,2.0,Bachelor's,,University of Delaware,,,,,,Wilmington,Delaware,Treasurer,E.I. du Pont de Nemours & Company,Engineering,W,M,1906,51,,,,,,,,1957,1962,,R,RUSSELL,PIPPIN,,,R
JOHN A BYERLY,4,Cleveland,A,1.0,JD,,University of Pittsburgh,,,,,,Pittsburgh,Pennsylvania,President,Fidelity-Pittsburgh Trust Company,Banking,W,M,1898,59,,,,,,,,1957,1959,,JOHN,A,BYERLY,,,A
"GEORGE P MACNICHOL, JR",4,Cleveland,B,1.0,Bachelor's,,Kenyon College,1918,,,,,Toledo,Ohio,President,Libbey-Owens-Ford Glass Company,Manufacturing,W,M,1899,58,,,,,,,,1957,1959,,GEORGE,P,MACNICHOL,JR,,P
JOSEPH H THOMPSON,4,Cleveland,C Dep. Chair,,Bachelor's,,University of Pittsburgh,1905,,,,,Cleveland,Ohio,President,M. A. Hanna Company,Manufacturing,W,M,1900,57,,,,,,,,1957,1962,,JOSEPH,H,THOMPSON,,,H
ROBERT GAGE,5,Richmond,A,3.0,,,,,,,,,Chester,South Carolina,President,Commercial Bank of Chester,Banking,W,M,1885,72,,,,,,,,1957,1959,,ROBERT,,GAGE,,,
JOSEPH T LYKES,6,Atlanta,B,1.0,Bachelor's,,Washington and Lee University,1909,,,,,Tampa,Florida,Chairman & Director,"Lykes Bros, Steamship Company, Inc.",Transportation,W,M,1919,38,,,,,,,,1957,1958,,JOSEPH,T,LYKES,,,T
KENTON R CRAVENS,8,St. Louis,A,1.0,,,,,,,,,St. Louis,Missouri,President,Mercantile Trust Company,Banking,W,M,1905,52,,,,,,,,1957,1962,,KENTON,R,CRAVENS,,,R
HAROLD O MCCUTCHAN,8,St. Louis,B,3.0,,,Indiana State,1970,,,,,Evansville,Indiana,Executive Vice President,Mead Johnson & Company,Agriculture & Food Processing,W,M,1903,54,,,,,,,,1957,1965,,HAROLD,O,MCCUTCHAN,,,O
JH LONGWELL,8,St. Louis,C,,PHD,Agriculture,University of Missouri,1920,,,,,Columbia,Missouri,Director of Division of Agricultural Sciences,University of Missouri,Education,W,M,1895,62,,,,,,,,1957,1957,,JH,,LONGWELL,,,
PIERRE B MCBRIDE,8,St. Louis,C Chair,,,,Kenyon College,1918,,,,,Louisville,Kentucky,President,Porcelain Metals Corporation,Manufacturing,W,M,1896,61,,,,,,,,1957,1962,,PIERRE,B,MCBRIDE,,,B
JOHN M GRIFFITH,11,Dallas,A,2.0,,,,,,,,,Taylor,Texas,President,City National Bank of Taylor,Banking,W,M,1904,53,,,,,,,,1957,1962,,JOHN,M,GRIFFITH,,,M
"LAMAR FLEMING, JR",11,Dallas,C,,,,,,,,,,Houston,Texas,Chairman of the Board,"Anderson, Clayton & Co., Inc.",Agriculture & Food Processing,W,M,1892,65,,,,,,,,1957,1959,,LAMAR,,FLEMING,JR,,
N LOYALL MCLAREN,12,San Francisco,B,1.0,Bachelor's,,University of California at Berkeley,1914,,,,,San Francisco,California,Partner,Haskins & Sells,Accounting,W,M,1892,65,,,,,,,,1957,1962,,N,LOYALL,MCLAREN,,,L
ARTHUR B VAN BUSKIRK,4,Cleveland,C Chair,,JD,Law,University of Pennsylvania,,,,,,Pittsburgh,Pennsylvania,Vice President & Governor,T. Mellon & Sons,Financial Services (non-banking),W,M,1896,61,,,,,,,,1957,1961,,ARTHUR,B,VAN BUSKIRK,,,B
JOHN E BIERWIRTH,2,New York,C Chair,,JD,Law,Columbia University,1950,,,,,New York,New York,President,National Distillers Products Corporation,Agriculture & Food Processing,W,M,1924,33,,,,,,,,1957,1959,,JOHN,E,BIERWIRTH,,,E
"HARVEY PERLEY HOOD, II",1,Boston,C Dep. Chair,1.0,Master's,Business Administration,Harvard University,,,,,,Boston,Massachusetts,President,"H.P. Hood & Sons, Inc.",Agriculture & Food Processing,W,M,1897,60,,,,,,,,1957,1958,,HARVEY,PERLEY,HOOD,II,,P
JOSEPH H MOORE,8,St. Louis,C Dep. Chair,,,,,,,,,,Charleston,Missouri,Farmer,Moore Farm,Agriculture & Food Processing,W,M,1892,65,,,,,,,,1957,1957,,JOSEPH,H,MOORE,,,H
ARTHUR F MAXWELL,1,Boston,A,3.0,,,,,,,,,Biddeford,Maine,President,First National Bank of Biddeford,Banking,W,M,1901,57,,,,,,,,1958,1963,,ARTHUR,F,MAXWELL,,,F
STANLEY M COOPER,1,Boston,B,3.0,Bachelor's,,Yale University,1924,,,,,New Britain,Connecticut,Chairman of the Board,Fafnir Bearing Company,Manufacturing,W,M,1902,56,,,,,,,,1958,1959,,STANLEY,M,COOPER,,,M
CYRUS M HIGLEY,2,New York,A,3.0,Bachelor's,,Yale University,1915,,,,,Norwich,New York,President & Trust Officer,Chenango County National Bank and Trust Company of Norwich,Banking,W,M,1894,64,,,,,,,,1958,1960,,CYRUS,M,HIGLEY,,,M
WILLIAM B BROSIUS,3,Philadelphia,A,2.0,,,,,,,,,Milton,Pennsylvania,President & Trust Officer,National Bank of Milton,Banking,W,M,1903,55,,,,,,,,1958,1960,,WILLIAM,B,BROSIUS,,,B
"WALTER E HOADLEY, JR",3,Philadelphia,C,,PhD,Labor and Economics,University of California at Berkeley,1946,,,,,Lancaster,Pennsylvania,Treasurer,Armstrong Cork Company,Manufacturing,W,M,1916,42,,,,,,,,1958,1959,,WALTER,E,HOADLEY,JR,,E
PAUL A WARNER,4,Cleveland,A,3.0,,,,,,,,,Oberlin,Ohio,President,Oberlin Savings Bank Company,Banking,W,M,1899,59,,,,,,,,1958,1963,,PAUL,A,WARNER,,,A
