"Symbol
",Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,"Founded
"
"DXCM
",DexCom,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DXCM&action=getcompany,Health Care,Health Care Equipment,"San Diego, California",2020-05-12,0001093557,"1999
"
"FANG
",Diamondback Energy,https://www.sec.gov/cgi-bin/browse-edgar?CIK=FANG&action=getcompany,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2018-12-03,0001539838,"2007
"
"DLR
",Digital Realty Trust,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DLR&action=getcompany,Real Estate,Specialized REITs,"Austin, Texas",2016-05-18,"0001297996
","2004
"
"DFS
",Discover Financial Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DFS&action=getcompany,Financials,Consumer Finance,"Riverwoods, Illinois",2007-07-02,"0001393612
","1985
"
"DISCA
",Discovery (Series A),https://www.sec.gov/cgi-bin/browse-edgar?CIK=DISCA&action=getcompany,Communication Services,Broadcasting,New York City,2010-03-01,0001437107,"1985
"
"DISCK
",Discovery (Series C),https://www.sec.gov/cgi-bin/browse-edgar?CIK=DISCK&action=getcompany,Communication Services,Broadcasting,New York City,2014-08-07,0001437107,"1985
"
"DISH
",Dish Network,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DISH&action=getcompany,Communication Services,Cable & Satellite,"Meridian, Colorado",2017-03-13,0001001082,"1980
"
"DG
",Dollar General,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DG&action=getcompany,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",2012-12-03,0000029534,"1939
"
"DLTR
",Dollar Tree,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DLTR&action=getcompany,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",2011-12-19,0000935703,"1986
"
"D
",Dominion Energy,https://www.sec.gov/cgi-bin/browse-edgar?CIK=D&action=getcompany,Utilities,Electric Utilities,"Richmond, Virginia",,0000715957,"1983
"
"DPZ
",Domino's Pizza,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DPZ&action=getcompany,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,0001286681,"1960
"
"DOV
",Dover Corporation,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DOV&action=getcompany,Industrials,Industrial Machinery,"Downers Grove, Illinois",1985-10-31,0000029905,"1955
"
"DOW
",Dow,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DOW&action=getcompany,Materials,Commodity Chemicals,"Midland, Michigan",2019-04-01,0001751788,"2019
"
"DTE
",DTE Energy,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DTE&action=getcompany,Utilities,Multi-Utilities,"Detroit, Michigan",1957-03-04,0000936340,"1995
"
"DUK
",Duke Energy,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DUK&action=getcompany,Utilities,Electric Utilities,"Charlotte, North Carolina",1976-06-30,"0001326160
","1904
"
"DRE
",Duke Realty Corp,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DRE&action=getcompany,Real Estate,Industrial REITs,"Indianapolis, Indiana",2017-07-26,0000783280,"1972
"
"DD
",DuPont,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DD&action=getcompany,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-04-02,0001666700,"2017
"
"DXC
",DXC Technology,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DXC&action=getcompany,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",2017-04-04,0001688568,"2017
"
"EMN
",Eastman Chemical,https://www.sec.gov/cgi-bin/browse-edgar?CIK=EMN&action=getcompany,Materials,Diversified Chemicals,"Kingsport, Tennessee",1994-01-01,0000915389,"1920
"
"ETN
",Eaton Corporation,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ETN&action=getcompany,Industrials,Electrical Components & Equipment,"Dublin, Ireland",,0001551182,"1911
"
"EBAY
",eBay,https://www.sec.gov/cgi-bin/browse-edgar?CIK=EBAY&action=getcompany,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",2002-07-22,0001065088,"1995
"
"ECL
",Ecolab,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ECL&action=getcompany,Materials,Specialty Chemicals,"Saint Paul, Minnesota",1989-01-31,0000031462,"1923
"
"EIX
",Edison International,https://www.sec.gov/cgi-bin/browse-edgar?CIK=EIX&action=getcompany,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,0000827052,"1886
"
"EW
",Edwards Lifesciences,https://www.sec.gov/cgi-bin/browse-edgar?CIK=EW&action=getcompany,Health Care,Health Care Equipment,"Irvine, California",2011-04-01,0001099800,"1958
"
"EA
",Electronic Arts,https://www.sec.gov/cgi-bin/browse-edgar?CIK=EA&action=getcompany,Communication Services,Interactive Home Entertainment,"Redwood City, California",2002-07-22,0000712515,"1982
"
"EMR
",Emerson Electric Company,https://www.sec.gov/cgi-bin/browse-edgar?CIK=EMR&action=getcompany,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",1965-03-31,0000032604,"1890
"
"ENPH
",Enphase Energy,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ENPH&action=getcompany,Information Technology,Electronic Components,"Fremont, California",2021-01-07,0001463101,"2006
"
"ETR
",Entergy,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ETR&action=getcompany,Utilities,Electric Utilities,"New Orleans, Louisiana",1957-03-04,0000065984,"1913
"
"EOG
",EOG Resources,https://www.sec.gov/cgi-bin/browse-edgar?CIK=EOG&action=getcompany,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2000-11-02,0000821189,"1999
"
"EFX
",Equifax,https://www.sec.gov/cgi-bin/browse-edgar?CIK=EFX&action=getcompany,Industrials,Research & Consulting Services,"Atlanta, Georgia",1997-06-19,0000033185,"1899
"
"EQIX
",Equinix,https://www.sec.gov/cgi-bin/browse-edgar?CIK=EQIX&action=getcompany,Real Estate,Specialized REITs,"Redwood City, California",2015-03-20,0001101239,"1998
"
"EQR
",Equity Residential,https://www.sec.gov/cgi-bin/browse-edgar?CIK=EQR&action=getcompany,Real Estate,Residential REITs,"Chicago, Illinois",2001-12-03,0000906107,"1969
"
"ESS
",Essex Property Trust,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ESS&action=getcompany,Real Estate,Residential REITs,"San Mateo, California",2014-04-02,0000920522,"1971
"
"EL
",Estée Lauder Companies,https://www.sec.gov/cgi-bin/browse-edgar?CIK=EL&action=getcompany,Consumer Staples,Personal Products,New York City,2006-01-05,0001001250,"1946
"
"ETSY
",Etsy,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ETSY&action=getcompany,Consumer Discretionary,Internet & Direct Marketing Retail,"Brooklyn, New York",2020-09-21,0001370637,"2005
"
"EVRG
",Evergy,https://www.sec.gov/cgi-bin/browse-edgar?CIK=EVRG&action=getcompany,Utilities,Electric Utilities,"Kansas City, Missouri",2018-06-05,0001711269,"1909
"
"ES
",Eversource Energy,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ES&action=getcompany,Utilities,Multi-Utilities,"Hartford, Connecticut",,0000072741,"1966
"
"RE
",Everest Re,https://www.sec.gov/cgi-bin/browse-edgar?CIK=RE&action=getcompany,Financials,Reinsurance,"Hamilton, Bermuda",2017-06-19,0001095073,"1973
"
"EXC
",Exelon,https://www.sec.gov/cgi-bin/browse-edgar?CIK=EXC&action=getcompany,Utilities,Multi-Utilities,"Chicago, Illinois",1957-03-04,0001109357,"2000
"
"EXPE
",Expedia Group,https://www.sec.gov/cgi-bin/browse-edgar?CIK=EXPE&action=getcompany,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2007-10-02,"0001324424
","1996
"
"EXPD
",Expeditors,https://www.sec.gov/cgi-bin/browse-edgar?CIK=EXPD&action=getcompany,Industrials,Air Freight & Logistics,"Seattle, Washington",2007-10-10,0000746515,"1979
"
"EXR
",Extra Space Storage,https://www.sec.gov/cgi-bin/browse-edgar?CIK=EXR&action=getcompany,Real Estate,Specialized REITs,"Salt Lake City, Utah",2016-01-19,0001289490,"1977
"
"XOM
",ExxonMobil,https://www.sec.gov/cgi-bin/browse-edgar?CIK=XOM&action=getcompany,Energy,Integrated Oil & Gas,"Irving, Texas",1957-03-04,0000034088,"1999
"
"FFIV
",F5 Networks,https://www.sec.gov/cgi-bin/browse-edgar?CIK=FFIV&action=getcompany,Information Technology,Communications Equipment,"Seattle, Washington",2010-12-20,0001048695,"1996
"
"FB
",Facebook,https://www.sec.gov/cgi-bin/browse-edgar?CIK=FB&action=getcompany,Communication Services,Interactive Media & Services,"Menlo Park, California",2013-12-23,0001326801,"2004
"
"FAST
",Fastenal,https://www.sec.gov/cgi-bin/browse-edgar?CIK=FAST&action=getcompany,Industrials,Building Products,"Winona, Minnesota",2008-09-15,0000815556,"1967
"
"FRT
",Federal Realty Investment Trust,https://www.sec.gov/cgi-bin/browse-edgar?CIK=FRT&action=getcompany,Real Estate,Retail REITs,"Rockville, Maryland",2016-02-01,0000034903,"1962
"
"FDX
",FedEx,https://www.sec.gov/cgi-bin/browse-edgar?CIK=FDX&action=getcompany,Industrials,Air Freight & Logistics,"Memphis, Tennessee",1980-12-31,"0001048911
","1971
"
"FIS
",Fidelity National Information Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=FIS&action=getcompany,Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida",2006-11-10,0001136893,"1968
"
"FITB
",Fifth Third Bancorp,https://www.sec.gov/cgi-bin/browse-edgar?CIK=FITB&action=getcompany,Financials,Regional Banks,"Cincinnati, Ohio",,0000035527,"1858
"
"FE
",FirstEnergy,https://www.sec.gov/cgi-bin/browse-edgar?CIK=FE&action=getcompany,Utilities,Electric Utilities,"Akron, Ohio",,0001031296,"1997
"
"FRC
",First Republic Bank,https://www.sec.gov/cgi-bin/browse-edgar?CIK=FRC&action=getcompany,Financials,Regional Banks,"San Francisco, California",2019-01-02,0001132979,"1985
"
"FISV
",Fiserv,https://www.sec.gov/cgi-bin/browse-edgar?CIK=FISV&action=getcompany,Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin",2001-04-02,0000798354,"1984
"
"FLT
",Fleetcor,https://www.sec.gov/cgi-bin/browse-edgar?CIK=FLT&action=getcompany,Information Technology,Data Processing & Outsourced Services,"Norcross, Georgia",2018-06-20,0001175454,"2000
"
"FMC
",FMC Corporation,https://www.sec.gov/cgi-bin/browse-edgar?CIK=FMC&action=getcompany,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",2009-08-19,0000037785,"1883
"
"F
",Ford,https://www.sec.gov/cgi-bin/browse-edgar?CIK=F&action=getcompany,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",1957-03-04,0000037996,"1903
"
"FTNT
",Fortinet,https://www.sec.gov/cgi-bin/browse-edgar?CIK=FTNT&action=getcompany,Information Technology,Systems Software,"Sunnyvale, California",2018-10-11,0001262039,"2000
"
"FTV
",Fortive,https://www.sec.gov/cgi-bin/browse-edgar?CIK=FTV&action=getcompany,Industrials,Industrial Machinery,"Everett, Washington",2016-07-01,0001659166,"2016
"
"FBHS
",Fortune Brands Home & Security,https://www.sec.gov/cgi-bin/browse-edgar?CIK=FBHS&action=getcompany,Industrials,Building Products,"Deerfield, Illinois",2016-06-22,"0001519751
","2011 (1969)
"
"FOXA
",Fox Corporation (Class A),https://www.sec.gov/cgi-bin/browse-edgar?CIK=FOXA&action=getcompany,Communication Services,Movies & Entertainment,New York City,2013-07-01,"0001754301
","2019
"
"FOX
",Fox Corporation (Class B),https://www.sec.gov/cgi-bin/browse-edgar?CIK=FOX&action=getcompany,Communication Services,Movies & Entertainment,New York City,2015-09-18,"0001754301
","2019
"
"BEN
",Franklin Resources,https://www.sec.gov/cgi-bin/browse-edgar?CIK=BEN&action=getcompany,Financials,Asset Management & Custody Banks,"San Mateo, California",,0000038777,"1947
"
"FCX
",Freeport-McMoRan,https://www.sec.gov/cgi-bin/browse-edgar?CIK=FCX&action=getcompany,Materials,Copper,"Phoenix, Arizona",,0000831259,"1912
"
"GPS
",Gap,https://www.sec.gov/cgi-bin/browse-edgar?CIK=GPS&action=getcompany,Consumer Discretionary,Apparel Retail,"San Francisco, California",1986-08-31,0000039911,"1969
"
"GRMN
",Garmin,https://www.sec.gov/cgi-bin/browse-edgar?CIK=GRMN&action=getcompany,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,0001121788,"1989
"
"IT
",Gartner,https://www.sec.gov/cgi-bin/browse-edgar?CIK=IT&action=getcompany,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",2017-04-05,0000749251,"1979
"
"GNRC
",Generac Holdings,https://www.sec.gov/cgi-bin/browse-edgar?CIK=GNRC&action=getcompany,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",2021-03-22,0001474735,"1959
"
"GD
",General Dynamics,https://www.sec.gov/cgi-bin/browse-edgar?CIK=GD&action=getcompany,Industrials,Aerospace & Defense,"Falls Church, Virginia",1957-03-04,0000040533,"1899
"
"GE
",General Electric,https://www.sec.gov/cgi-bin/browse-edgar?CIK=GE&action=getcompany,Industrials,Industrial Conglomerates,"Boston, Massachusetts",,0000040545,"1892
"
"GIS
",General Mills,https://www.sec.gov/cgi-bin/browse-edgar?CIK=GIS&action=getcompany,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",1969-03-31,0000040704,"1856
"
"GM
",General Motors,https://www.sec.gov/cgi-bin/browse-edgar?CIK=GM&action=getcompany,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",2013-06-06,"0001467858
","1908
"
"GPC
",Genuine Parts,https://www.sec.gov/cgi-bin/browse-edgar?CIK=GPC&action=getcompany,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",1973-12-31,0000040987,"1925
"
"GILD
",Gilead Sciences,https://www.sec.gov/cgi-bin/browse-edgar?CIK=GILD&action=getcompany,Health Care,Biotechnology,"Foster City, California",2004-07-01,0000882095,"1987
"
"GL
",Globe Life,https://www.sec.gov/cgi-bin/browse-edgar?CIK=GL&action=getcompany,Financials,Life & Health Insurance,"McKinney, Texas",1989-04-30,0000320335,"1900
"
"GPN
",Global Payments,https://www.sec.gov/cgi-bin/browse-edgar?CIK=GPN&action=getcompany,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",2016-04-25,0001123360,"2000
"
"GS
",Goldman Sachs,https://www.sec.gov/cgi-bin/browse-edgar?CIK=GS&action=getcompany,Financials,Investment Banking & Brokerage,New York City,2002-07-22,0000886982,"1869
"
"GWW
",W. W. Grainger,https://www.sec.gov/cgi-bin/browse-edgar?CIK=GWW&action=getcompany,Industrials,Industrial Machinery,"Lake Forest, Illinois",1981-06-30,"0000277135
","1927
"
"HAL
",Halliburton,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HAL&action=getcompany,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1957-03-04,0000045012,"1919
"
"HBI
",Hanesbrands,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HBI&action=getcompany,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",2015-03-20,0001359841,"2000
"
"HIG
",The Hartford,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HIG&action=getcompany,Financials,Property & Casualty Insurance,"Hartford, Connecticut",1957-03-04,"0000874766
","1810
"
"HAS
",Hasbro,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HAS&action=getcompany,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",1984-09-30,0000046080,"1923
"
"HCA
",HCA Healthcare,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HCA&action=getcompany,Health Care,Health Care Facilities,"Nashville, Tennessee",2015-01-27,0000860730,"1968
"
"PEAK
",Healthpeak Properties,https://www.sec.gov/cgi-bin/browse-edgar?CIK=PEAK&action=getcompany,Real Estate,Health Care REITs,"Long Beach, California",2008-03-31,0000765880,"1985
"
"HSIC
",Henry Schein,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HSIC&action=getcompany,Health Care,Health Care Distributors,"Melville, New York",2015-03-17,0001000228,"1932
"
"HSY
",The Hershey Company,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HSY&action=getcompany,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",1957-03-04,0000047111,"1894
"
"HES
",Hess Corporation,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HES&action=getcompany,Energy,Integrated Oil & Gas,New York City,1984-05-31,0000004447,"1919
"
"HPE
",Hewlett Packard Enterprise,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HPE&action=getcompany,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",2015-11-02,0001645590,"2015
"
"HLT
",Hilton Worldwide,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HLT&action=getcompany,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",2017-06-19,0001585689,"1919
"
"HOLX
",Hologic,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HOLX&action=getcompany,Health Care,Health Care Equipment,"Marlborough, Massachusetts",2016-03-30,0000859737,"1985
"
"HD
",Home Depot,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HD&action=getcompany,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",1988-03-31,0000354950,"1978
"
"HON
",Honeywell,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HON&action=getcompany,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",1964-03-31,0000773840,"1906
"
"HRL
",Hormel,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HRL&action=getcompany,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",2009-03-04,0000048465,"1891
"
"HST
",Host Hotels & Resorts,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HST&action=getcompany,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",2007-03-20,0001070750,"1993
"
"HWM
",Howmet Aerospace,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HWM&action=getcompany,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",1964-03-31,0000004281,"2016
"
"HPQ
",HP,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HPQ&action=getcompany,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",1974-12-31,0000047217,"1939 (2015)
"
"HUM
",Humana,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HUM&action=getcompany,Health Care,Managed Health Care,"Louisville, Kentucky",,0000049071,"1961
"
"HBAN
",Huntington Bancshares,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HBAN&action=getcompany,Financials,Regional Banks,"Columbus, Ohio",,0000049196,"1866
"
"HII
",Huntington Ingalls Industries,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HII&action=getcompany,Industrials,Aerospace & Defense,"Newport News, Virginia",2018-01-03,"0001501585
","2011
"
"IEX
",IDEX Corporation,https://www.sec.gov/cgi-bin/browse-edgar?CIK=IEX&action=getcompany,Industrials,Industrial Machinery,"Lake Forest, Illinois",2019-08-09,0000832101,"1988
"
"IDXX
",Idexx Laboratories,https://www.sec.gov/cgi-bin/browse-edgar?CIK=IDXX&action=getcompany,Health Care,Health Care Equipment,"Westbrook, Maine",2017-01-05,0000874716,"1983
"
"INFO
",IHS Markit,https://www.sec.gov/cgi-bin/browse-edgar?CIK=INFO&action=getcompany,Industrials,Research & Consulting Services,"London, England",2017-06-02,"0001598014
","1959
"
"ITW
",Illinois Tool Works,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ITW&action=getcompany,Industrials,Industrial Machinery,"Glenview, Illinois",1986-02-28,0000049826,"1912
"
"ILMN
",Illumina,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ILMN&action=getcompany,Health Care,Life Sciences Tools & Services,"San Diego, California",2015-11-19,0001110803,"1998
"
"INCY
",Incyte,https://www.sec.gov/cgi-bin/browse-edgar?CIK=INCY&action=getcompany,Health Care,Biotechnology,"Wilmington, Delaware",2017-02-28,0000879169,"1991
"
"IR
",Ingersoll Rand,https://www.sec.gov/cgi-bin/browse-edgar?CIK=IR&action=getcompany,Industrials,Industrial Machinery,"Milwaukee, Wisconsin",2020-03-03,0001699150,"1859
"
"INTC
",Intel,https://www.sec.gov/cgi-bin/browse-edgar?CIK=INTC&action=getcompany,Information Technology,Semiconductors,"Santa Clara, California",1976-12-31,"0000050863
","1968
"
"ICE
",Intercontinental Exchange,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ICE&action=getcompany,Financials,Financial Exchanges & Data,"Atlanta, Georgia",2007-09-26,0001571949,"2000
"
"IBM
",IBM,https://www.sec.gov/cgi-bin/browse-edgar?CIK=IBM&action=getcompany,Information Technology,IT Consulting & Other Services,"Armonk, New York",1957-03-04,0000051143,"1911
"
"IP
",International Paper,https://www.sec.gov/cgi-bin/browse-edgar?CIK=IP&action=getcompany,Materials,Paper Packaging,"Memphis, Tennessee",1957-03-04,0000051434,"1898
"
"IPG
",Interpublic Group,https://www.sec.gov/cgi-bin/browse-edgar?CIK=IPG&action=getcompany,Communication Services,Advertising,New York City,1992-10-01,0000051644,"1961 (1930)
"
"IFF
",International Flavors & Fragrances,https://www.sec.gov/cgi-bin/browse-edgar?CIK=IFF&action=getcompany,Materials,Specialty Chemicals,New York City,1976-03-31,"0000051253
","1958 (1889)
"
"INTU
",Intuit,https://www.sec.gov/cgi-bin/browse-edgar?CIK=INTU&action=getcompany,Information Technology,Application Software,"Mountain View, California",2000-12-05,0000896878,"1983
"
"ISRG
",Intuitive Surgical,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ISRG&action=getcompany,Health Care,Health Care Equipment,"Sunnyvale, California",2008-06-02,0001035267,"1995
"
"IVZ
",Invesco,https://www.sec.gov/cgi-bin/browse-edgar?CIK=IVZ&action=getcompany,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",2008-08-21,0000914208,"1935
"
"IPGP
",IPG Photonics,https://www.sec.gov/cgi-bin/browse-edgar?CIK=IPGP&action=getcompany,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts",2018-03-07,0001111928,"1990
"
"IQV
",IQVIA,https://www.sec.gov/cgi-bin/browse-edgar?CIK=IQV&action=getcompany,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",2017-08-29,"0001478242
","1982
"
"IRM
",Iron Mountain,https://www.sec.gov/cgi-bin/browse-edgar?CIK=IRM&action=getcompany,Real Estate,Specialized REITs,"Boston, Massachusetts",2009-01-06,0001020569,"1951
"
"JKHY
",Jack Henry & Associates,https://www.sec.gov/cgi-bin/browse-edgar?CIK=JKHY&action=getcompany,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",2018-11-13,0000779152,"1976
"
"J
",Jacobs Engineering Group,https://www.sec.gov/cgi-bin/browse-edgar?CIK=J&action=getcompany,Industrials,Construction & Engineering,"Dallas, Texas",2007-10-26,0000052988,"1947
"
"JBHT
",J. B. Hunt,https://www.sec.gov/cgi-bin/browse-edgar?CIK=JBHT&action=getcompany,Industrials,Trucking,"Lowell, Arkansas",2015-07-01,0000728535,"1961
"
"SJM
",JM Smucker,https://www.sec.gov/cgi-bin/browse-edgar?CIK=SJM&action=getcompany,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",2008-11-06,0000091419,"1897
"
"JNJ
",Johnson & Johnson,https://www.sec.gov/cgi-bin/browse-edgar?CIK=JNJ&action=getcompany,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",1973-06-30,0000200406,"1886
"
"JCI
",Johnson Controls,https://www.sec.gov/cgi-bin/browse-edgar?CIK=JCI&action=getcompany,Industrials,Building Products,"Cork, Ireland",2010-08-27,0000833444,"1885
"
"JPM
",JPMorgan Chase,https://www.sec.gov/cgi-bin/browse-edgar?CIK=JPM&action=getcompany,Financials,Diversified Banks,New York City,1975-06-30,"0000019617
","2000 (1799 / 1871)
"
"JNPR
",Juniper Networks,https://www.sec.gov/cgi-bin/browse-edgar?CIK=JNPR&action=getcompany,Information Technology,Communications Equipment,"Sunnyvale, California",2006-06-02,0001043604,"1996
"
"KSU
",Kansas City Southern,https://www.sec.gov/cgi-bin/browse-edgar?CIK=KSU&action=getcompany,Industrials,Railroads,"Kansas City, Missouri",2013-05-24,0000054480,"1887
"
"K
",Kellogg's,https://www.sec.gov/cgi-bin/browse-edgar?CIK=K&action=getcompany,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",1989-09-11,0000055067,"1906
"
"KEY
",KeyCorp,https://www.sec.gov/cgi-bin/browse-edgar?CIK=KEY&action=getcompany,Financials,Regional Banks,"Cleveland, Ohio",1994-03-01,0000091576,"1825
"
"KEYS
",Keysight Technologies,https://www.sec.gov/cgi-bin/browse-edgar?CIK=KEYS&action=getcompany,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",2018-11-06,0001601046,"2014
"
"KMB
",Kimberly-Clark,https://www.sec.gov/cgi-bin/browse-edgar?CIK=KMB&action=getcompany,Consumer Staples,Household Products,"Irving, Texas",1957-03-04,0000055785,"1872
"
"KIM
",Kimco Realty,https://www.sec.gov/cgi-bin/browse-edgar?CIK=KIM&action=getcompany,Real Estate,Retail REITs,"New Hyde Park, New York",2006-04-04,"0000879101
","1958
"
"KMI
",Kinder Morgan,https://www.sec.gov/cgi-bin/browse-edgar?CIK=KMI&action=getcompany,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2012-05-25,"0001506307
","1997
"
"KLAC
",KLA Corporation,https://www.sec.gov/cgi-bin/browse-edgar?CIK=KLAC&action=getcompany,Information Technology,Semiconductor Equipment,"Milpitas, California",,0000319201,"1975/1977 (1997)
"
"KHC
",Kraft Heinz,https://www.sec.gov/cgi-bin/browse-edgar?CIK=KHC&owner=exclude&action=getcompany,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,0001637459,"2015 (1869)
"
"KR
",Kroger,https://www.sec.gov/cgi-bin/browse-edgar?CIK=KR&action=getcompany,Consumer Staples,Food Retail,"Cincinnati, Ohio",1957-03-04,0000056873,"1883
"
"LB
",L Brands,https://www.sec.gov/cgi-bin/browse-edgar?CIK=LB&action=getcompany,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",1983-09-30,"0000701985
","1963
"
"LHX
",L3Harris Technologies,https://www.sec.gov/cgi-bin/browse-edgar?CIK=LHX&action=getcompany,Industrials,Aerospace & Defense,"Melbourne, Florida",2008-09-22,"0000202058
","2019 (1895)
"
"LH
",LabCorp,https://www.sec.gov/cgi-bin/browse-edgar?CIK=LH&action=getcompany,Health Care,Health Care Services,"Burlington, North Carolina",2004-11-01,0000920148,"1978
"
"LRCX
",Lam Research,https://www.sec.gov/cgi-bin/browse-edgar?CIK=LRCX&action=getcompany,Information Technology,Semiconductor Equipment,"Fremont, California",2012-06-29,0000707549,"1980
"
"LW
",Lamb Weston,https://www.sec.gov/cgi-bin/browse-edgar?CIK=LW&action=getcompany,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",2018-12-03,0001679273,"2016 (1950)
"
"LVS
",Las Vegas Sands,https://www.sec.gov/cgi-bin/browse-edgar?CIK=LVS&action=getcompany,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",2019-10-03,0001300514,"1988
"
"LEG
",Leggett & Platt,https://www.sec.gov/cgi-bin/browse-edgar?CIK=LEG&action=getcompany,Consumer Discretionary,Home Furnishings,"Carthage, Missouri",,0000058492,"1883
"
"LDOS
",Leidos,https://www.sec.gov/cgi-bin/browse-edgar?CIK=LDOS&action=getcompany,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,0001336920,"1969
"
